prepend,prefix,"match pattern",callerid
,,00X.,
,,112,
,,116000,
,,116111,
,,116123,
,,12XXXXXXX,
,,13XXXXXXX,
,,14XXXXXXX,
,,15XXXXXXX,
,,16XXXXXXX,
,,17XXXXXXX,
,,18XXXXXXX,
,,19282,
,,19285,
,,22XXXXXXX,
,,23XXXXXXX,
,,24XXXXXXX,
,,25XXXXXXX,
,,26XXXXXXX,
,,29XXXXXXX,
,,32XXXXXXX,
,,33XXXXXXX,
,,34XXXXXXX,
,,39XXXXXXX,
,,41XXXXXXX,
,,42XXXXXXX,
,,43XXXXXXX,
,,44XXXXXXX,
,,45XXXXXXX,
,,46XXXXXXX,
,,47XXXXXXX,
,,48XXXXXXX,
,,50XXXXXXX,
,,51XXXXXXX,
,,52XXXXXXX,
,,53XXXXXXX,
,,54XXXXXXX,
,,55XXXXXXX,
,,56XXXXXXX,
,,57XXXXXXX,
,,58XXXXXXX,
,,59XXXXXXX,
,,60XXXXXXX,
,,61XXXXXXX,
,,62XXXXXXX,
,,63XXXXXXX,
,,65XXXXXXX,
,,66XXXXXXX,
,,67XXXXXXX,
,,68XXXXXXX,
,,69XXXXXXX,
,,71XXXXXXX,
,,72XXXXXXX,
,,73XXXXXXX,
,,74XXXXXXX,
,,75XXXXXXX,
,,76XXXXXXX,
,,77XXXXXXX,
,,78XXXXXXX,
,,79XXXXXXX,
,,81XXXXXXX,
,,82XXXXXXX,
,,83XXXXXXX,
,,84XXXXXXX,
,,85XXXXXXX,
,,86XXXXXXX,
,,87XXXXXXX,
,,88XXXXXXX,
,,89XXXXXXX,
,,91XXXXXXX,
,,94XXXXXXX,
,,95XXXXXXX,
,,20XXXX,
,,700XXXXXX,
,,701XXXXXX,
,,703XXXXXX,
,,704XXXXXX,
,,707XXXXXX,
,,708XXXXXX,
,,800XXXXXX,
,,801XXXXXX,
,,802XXXXXX,
,,804XXXXXX,
,,806XXXXXX,
,,808XXXXXX,
,,983,
,,984,
,,985,
,,986,
,,987,
,,989,
,,991,
,,992,
,,993,
,,994,
,,995,
,,996,
,,997,
,,998,
,,999,